City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,hofn,64,IS,1524872370,100,64.25,-15.21,38.32,7.63
88,vamvakou,0,GR,1524869400,76,39.34,22.42,55.4,4.7
89,kieta,12,PG,1524872370,89,-6.22,155.63,84.04,3.04
90,akureyri,75,IS,1524870000,86,65.68,-18.09,37.4,8.05
91,saskylakh,64,RU,1524872371,88,71.97,114.09,13.12,16.02
92,ahipara,92,NZ,1524872371,100,-35.17,173.16,65.05,21.94
93,ucluelet,90,CA,1524870000,87,48.94,-125.55,51.8,12.75
94,oranjemund,8,ZA,1524872371,97,-28.55,16.43,61.54,9.75
95,lata,0,IN,1524872371,83,30.78,78.62,45.25,2.93
96,castro,92,CL,1524872372,88,-42.48,-73.76,48.57,4.61
97,turinsk,92,RU,1524872372,98,58.04,63.7,45.42,6.17
98,shushtar,0,IR,1524872372,90,32.05,48.86,63.34,10.31
99,vostok,36,RU,1524872372,58,46.45,135.83,46.95,2.59
100,magadi,40,IN,1524871800,100,12.96,77.22,71.6,3.36
101,charters towers,0,AU,1524872372,80,-20.07,146.27,69.9,4.61
102,ust-nera,0,RU,1524872373,82,64.57,143.24,21.67,2.71
103,khor,0,RU,1524872373,56,47.88,134.96,49.02,4.05
104,kavieng,12,PG,1524872373,100,-2.57,150.8,84.67,3.49
105,lebu,92,ET,1524872373,97,8.96,38.73,53.52,3.27
106,barrow,0,AR,1524872373,91,-38.31,-60.23,49.2,5.61
107,santa cruz,1,US,1524869760,63,36.97,-122.03,69.8,13.87
108,nyuksenitsa,0,RU,1524872374,91,60.41,44.24,31.47,4.16
109,anadyr,0,RU,1524870000,85,64.73,177.51,17.6,6.71
110,severo-kurilsk,56,RU,1524872375,95,50.68,156.12,32.37,23.73
111,palauig,0,PH,1524872375,94,15.44,119.9,80.52,3.15
112,thompson,75,CA,1524870000,65,55.74,-97.86,41.0,2.24
113,yima,0,CN,1524872375,68,34.75,111.87,64.87,3.27
114,hithadhoo,64,MV,1524872375,100,-0.6,73.08,81.7,9.98
115,meulaboh,32,ID,1524872375,100,4.14,96.13,79.09,3.6
116,matagami,24,NG,1524872376,92,9.67,8.4,69.37,3.71
117,glenwood springs,1,US,1524869760,19,39.55,-107.33,77.0,8.05
118,tuatapere,88,NZ,1524872376,100,-46.13,167.69,47.95,16.02
119,punta alta,32,AR,1524870000,65,-27.46,-55.82,80.6,2.24
120,valleyview,0,CA,1524872376,63,55.07,-117.28,68.82,5.17
121,san cristobal,40,EC,1524870000,63,-0.39,-78.55,60.8,16.11
122,chapais,90,CA,1524870000,64,49.78,-74.86,37.4,8.05
123,waingapu,0,ID,1524872377,81,-9.65,120.26,77.55,8.41
124,burgeo,76,CA,1524872377,95,47.61,-57.61,36.25,7.63
125,chuy,80,UY,1524872377,100,-33.69,-53.46,66.85,7.63
126,kruisfontein,0,ZA,1524872377,94,-34.0,24.73,56.67,7.63
127,zasheyek,0,RU,1524872377,77,67.41,32.55,20.4,2.59
128,coihaique,75,CL,1524870000,93,-45.58,-72.07,42.8,5.5
129,lagoa,0,PT,1524870000,77,37.14,-8.45,59.0,11.41
130,egvekinot,44,RU,1524872378,92,66.32,-179.17,28.69,1.7
131,port lincoln,44,AU,1524872378,90,-34.72,135.86,65.32,7.63
132,dikson,68,RU,1524872378,97,73.51,80.55,6.37,10.31
133,puerto quijarro,20,BO,1524870000,70,-19.0,-57.72,84.2,5.82
134,nisia floresta,20,BR,1524870000,83,-6.09,-35.21,78.8,9.17
135,lavrentiya,8,RU,1524872379,100,65.58,-170.99,29.67,6.62
136,coquimbo,0,CL,1524870000,82,-29.95,-71.34,57.2,3.36
137,male,0,UA,1524872379,95,50.74,33.7,43.99,8.75
138,marystown,76,CA,1524872379,93,47.17,-55.16,40.12,8.63
139,newport,90,GB,1524869400,93,51.59,-3.0,46.4,10.29
140,alofi,75,NU,1524870000,65,-19.06,-169.92,80.6,11.41
141,necochea,0,AR,1524872380,98,-38.55,-58.74,53.35,3.94
142,maragogi,92,BR,1524872380,92,-9.01,-35.22,77.74,6.51
143,atuona,0,PF,1524872380,99,-9.8,-139.03,81.7,17.69
144,kalmunai,12,LK,1524872380,100,7.42,81.82,75.22,2.71
145,kudahuvadhoo,36,MV,1524872380,100,2.67,72.89,81.6,8.41
146,rafraf,40,TN,1524870000,82,37.19,10.18,62.6,9.17
147,manaure,75,CO,1524870000,74,11.78,-72.45,84.2,6.93
148,thinadhoo,64,MV,1524872381,100,0.53,72.93,83.22,8.97
149,geraldton,75,CA,1524870000,32,49.72,-86.95,37.4,13.87
150,sibolga,80,ID,1524872381,100,1.74,98.78,71.17,2.71
151,varzea da palma,32,BR,1524872381,73,-17.6,-44.73,72.52,7.29
152,saint-michel-des-saints,76,CA,1524872381,81,46.68,-73.92,42.1,4.38
